Date,Initial Amt,S&P 500,3m+1f,3m+2f,2m+1f,2m+2f,1m+2f,1m+1f,
2010-01,10000,10000,10000,10000,10000,10000,10000,10000,
2010-02,10000,10243,10361,10495,10361,10495,9889,9726,
2010-03,10000,10816,11084,11191,11084,10934,10443,10405,
2010-04,10000,11038,11880,11848,11880,11577,10284,10235,
2010-05,10000,9830,10392,10463,10392,10223,9082,8953,
2010-06,10000,9432,10736,10696,10736,10450,9283,9249,
2010-07,10000,10337,9838,10293,9838,10057,8987,8476,
2010-08,10000,9918,9865,10508,9373,9618,8594,8075,
2010-09,10000,10524,10802,11209,10263,10261,8444,7668,
2010-10,10000,10874,11244,11673,10683,10639,8794,7982,
2010-11,10000,11073,11298,11747,10734,10588,8814,7866,
2010-12,10000,11677,12279,12435,11059,11156,9287,8473,
2011-01,10000,12005,12315,12451,11091,11170,9427,8470,
2011-02,10000,11994,12478,12653,11238,11187,9547,8582,
2011-03,10000,12233,12796,12970,11524,11468,9848,8905,
2011-04,10000,12498,13056,13334,11566,11696,10254,9249,
2011-05,10000,12069,12999,13150,11156,11324,9858,8795,
2011-06,10000,12300,13113,13303,11254,11298,9721,8575,
2011-07,10000,11816,12560,12820,11376,11121,9169,8213,
2011-08,10000,11058,13286,13276,12033,11467,9383,8688,
2011-09,10000,10092,14346,13829,12994,11945,9773,9381,
2011-10,10000,11185,12672,12998,11477,11227,9207,8286,
2011-11,10000,11427,12650,12981,11762,11255,9340,8405,
2011-12,10000,11725,13160,13419,12192,11898,9608,8713,
2012-01,10000,12157,14844,15187,13753,12969,10474,9828,
2012-02,10000,12616,15768,15956,14609,13626,11004,10212,
2012-03,10000,13028,16598,16552,15378,14136,11351,10319,
2012-04,10000,12907,16348,15819,15147,13852,11123,10164,
