Date,Initial Amt,S&P 500,1m+1f,1m+2f,3m+2f,2m+2f,3m+1f,2m+1f,
2006-10,10000,9706,48792,34750,20693,21010,16035,19953,
2006-11,10000,9911,51656,36620,21527,21857,16976,21124,
2006-12,10000,10052,51762,37504,21723,22385,17011,21168,
2007-01,10000,10260,52042,37719,22271,22671,17103,21282,
2007-02,10000,9957,50450,36625,21625,22010,16580,20631,
2007-03,10000,10108,50556,36635,22133,22236,16886,20675,
2007-04,10000,10547,53822,38430,22926,22327,17449,20153,
2007-05,10000,10902,56666,40276,23903,23400,18371,21218,
2007-06,10000,10782,57277,41031,24210,23700,18861,21784,
2007-07,10000,10401,55501,41759,23511,23017,18276,21108,
2007-08,10000,10569,52932,41091,23098,22648,17430,20131,
2007-09,10000,10978,54116,42509,23259,22806,17562,20284,
2007-10,10000,10704,54731,43338,23238,22594,17762,20514,
2007-11,10000,10448,56363,43693,22683,22054,17152,19810,
2007-12,10000,10269,58321,44565,23135,22494,17748,20498,
2008-01,10000,9902,57451,43806,23212,22569,17483,20192,
2008-02,10000,9447,57972,43957,24153,22648,17642,20375,
2008-03,10000,9723,54694,42693,23458,21996,16644,19223,
2008-04,10000,10000,55613,43902,23367,22613,16461,19980,
2008-05,10000,9832,57117,44463,23371,22436,16509,19929,
2008-06,10000,9117,53155,44841,21663,20509,15364,18547,
2008-07,10000,8943,51841,44446,20946,20328,14984,18088,
2008-08,10000,9065,52663,45074,20655,20046,14387,17367,
2008-09,10000,8239,48599,40351,21554,18547,14473,15068,
2008-10,10000,6857,55724,43031,21460,19952,14544,17277,
2008-11,10000,5792,61661,46087,22983,21369,16094,19118,
2008-12,10000,6612,55724,44109,21997,20452,14544,17277,
2009-01,10000,5857,48584,38192,22878,20520,15696,17293,
2009-02,10000,4973,53175,39658,23756,18004,17179,14943,
2009-03,10000,5755,48104,38050,22721,17273,15541,13518,
2009-04,10000,6227,54006,42180,21944,18333,14478,13518,
2009-05,10000,6690,63176,47191,24834,20747,16936,15814,
2009-06,10000,6552,61678,45977,24195,20213,16535,15439,
2009-07,10000,7114,64192,49203,27374,22869,19234,17959,
2009-08,10000,7082,62786,47954,26680,22422,18812,17565,
2009-09,10000,7308,64504,49009,28182,23703,20077,18746,
2009-10,10000,7400,65342,49787,27955,23453,20338,18896,
2009-11,10000,7868,69784,53090,29050,24970,20606,20110,
2009-12,10000,8039,70710,54056,29652,25485,20982,20376,
2010-01,10000,7729,68059,52311,28257,24663,20052,19824,
2010-02,10000,7917,66196,51729,29655,25883,20777,20541,
2010-03,10000,8360,70813,54629,31622,26966,22226,21973,
2010-04,10000,8531,69658,53795,33480,28551,23822,23552,
2010-05,10000,7598,60933,47507,29567,25213,20838,20602,
2010-06,10000,7290,62949,48562,30223,25773,21528,21283,
2010-07,10000,7989,57685,47010,29086,24804,19728,19503,
2010-08,10000,7666,54959,44959,29692,23721,19782,18582,
2010-09,10000,8134,52185,44173,31674,25306,21660,20345,
2010-10,10000,8404,54322,46001,32985,26238,22546,21178,
2010-11,10000,8558,53538,46105,33195,26112,22655,21280,
2010-12,10000,9025,57669,48581,35139,27514,24623,21923,
2011-01,10000,9278,57643,49314,35182,27548,24694,21986,
2011-02,10000,9269,58410,49943,35753,27591,25022,22279,
2011-03,10000,9455,60607,51519,36648,28282,25659,22846,
2011-04,10000,9659,62947,53638,37677,28845,26180,22929,
2011-05,10000,9328,59861,51567,37159,27929,26066,22117,
2011-06,10000,9506,58358,50851,37591,27864,26295,22311,
2011-07,10000,9132,55897,47962,36226,27426,25186,22552,
2011-08,10000,8546,59127,49082,37515,28281,26641,23855,
2011-09,10000,7800,63847,51126,39077,29459,28768,25759,
2011-10,10000,8645,56394,48165,36729,27689,25410,22752,
2011-11,10000,8831,57203,48860,36681,27758,25366,23318,
2011-12,10000,9062,59299,50262,37919,29343,26388,24171,
2012-01,10000,9396,66891,54790,42913,31986,29766,27265,
2012-02,10000,9750,69505,57565,45086,33606,31618,28962,
2012-03,10000,10069,70232,59381,46773,34863,33282,30486,
2012-04,10000,9975,69176,58188,44700,34163,32782,30027,
